username,rating,content,at,sentiment
Pengguna Google,5,sangat membantu dan mudah dalam menggunakannya,2026-07-15 22:19:37,positif
Pengguna Google,1,app bapuk.. buat upload file ga bisa,2026-07-15 11:30:08,negatif
Pengguna Google,4,ga bisa login dg google ga bisa login dg apapun pokoknya. beresin bugnya donk,2026-07-14 22:16:36,positif
Pengguna Google,1,"banyak bug gk jelas,akun keluar sendiri,nilai gk masuk,menghambat banget",2026-07-11 15:44:07,negatif
Pengguna Google,2,"terlalu sering dapat notifikasi yang tidak jelas, tiba tiba masuk spam notifikasi tapi saat di klik tidak ada apa apa! tidak bisa di mute, ntah apa tujuan nya yang pasti sangat mengganggu! fitur claim point sering error, akses materi sering error baik bagi dosen maupun bagi mahasiswa. pencarian orang di menu pesan / chat tidak efektif, mencari DPA, mencari teman kelas tidak ada hasil, aneh. mohon perbaikan nya khusus nya notifikasi yang sangat mengganggu!",2026-07-10 13:13:34,negatif
Pengguna Google,5,"hallo min, kenapa edlinknya tidak bisa diunduh lagi yaa ? saya ingin mengunduh ulang karena kemarin hp saya ada rusak jadi harus di restart ulang",2026-07-08 09:10:07,positif
Pengguna Google,2,"Mohon diperbaiki, aplikasi stuck loading lama setelah login akun student UIN Ar-Raniry, padahal kalau lewat web lancar lancar saja. Terima kasih.""",2026-07-07 21:17:54,negatif
Pengguna Google,1,"banyak bugh, nya terutama di sistem keuangan, sekali bugh udh kyk Ngerampok😭😭😭 semoga bisa lebih baik lgi apk nya🙏",2026-07-04 16:51:55,negatif
Pengguna Google,4,"halo min bisa tidak edlink nya di-update dibagian mengirim file nya. tolong jangan dibuat 10 MB bisa buat lebih lagi, soalnya kadang ngirim tugas lebih dari itu kadang bikin susah aja",2026-07-02 15:34:16,positif
Pengguna Google,1,apk jelek,2026-07-01 11:43:06,negatif
Pengguna Google,5,"admin, kok beberapa kelas matkul materinya gx bisa diakses ya?,,,,,semua malah kosong gx ada apa2, tolong diperbaiki dong min bug nya",2026-06-26 20:38:30,positif
Pengguna Google,5,mantap,2026-06-25 19:50:26,positif
Pengguna Google,1,"ngelek banget apk nya,mana pas lgi butuh dia ngelek mulu",2026-06-19 16:10:10,negatif
Pengguna Google,2,"Kenapa edlink sekarang sering error, padahal sudah berkali-kali di upgrade mohon segera di perbaiki ya, terima kasih.",2026-06-15 21:42:32,negatif
Pengguna Google,4,"ada bug yg bikin kesel, ketika mau upload ke gdrive melalui edlink pasti disuruh ""Permission penyimpanan diperlukan"" tapi ketika dipencet malah gk ada opsi buat mengizinkan itu.",2026-06-15 10:58:02,positif
