text,actual_label,predicted_label
ini kn setiap kami instal dan slesai stelah itu kembali lgi ketahap awal utk instal kembali mohon bantuanya,negative,positive
tolong untuk penghapusan file dipermudah untuk menghapus file sulit sekali karena ada peringatan tidak bisa dihapus meski sudah pakai banyak tutorial menghapus tetap tidak bisa sedangkan penyimpanan tidak banyak dan cepat penuh terimakasih,positive,negative
nilai semester kemarin belum keluar ini salah kampus apa salah siapa sih,positive,negative
nanti di tambah bintang nya kalo udah lancar make apk nyaa,negative,positive
the profile photo error when i upload a picture,positive,negative
kok prodi saya bisa kosong ya bu imi kenapa ya prodi pgsd,positive,negative
tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya semua sudah saya unistall dan reinstall tapi masih begitu,positive,negative
belum pham,positive,negative
payah kok edlink skrg gak ada nitif kalau dosen ngasih materi patch sebelumnya lancar jaya,positive,negative
maaf sebelumnya ni aplikasi sekarang kurang bagus karena untuk mendownload file tugas sudah susah tolong diperbaiki,positive,negative
min kenapa edlink suka logout sendiri sebelumnya beberapa kali ke log out tpi bisa masuk pake google trus langsung ke sambung sama kampus tpi ini saya ke log out lagi tpi harus nyambungin secara manual pake username sama pw sedangkan akun itu susah masuk jika harus pakai username dan pw trus tugas tugasnya juga notifikasi nya ga masuk tugas tugas yg dikirim dosen ke edlink ga ada yg masuk padahal tugas itu deadline nya cuma jam,positive,negative
nga bisa di download,negative,positive
kak aplikasinya gak bisa login pakai akun mahasiswa saya hari ini,positive,negative
suka kesal dah keluar mulu akunnya setiap hari gara gara sering keluar suka gak tau informasi kuliah kalo ada krn gak ada notifikasinya eh pas dibuka akunnya udah keluar sering banget malah,positive,negative
ga bisa kirim tugas kenapa yah,positive,negative
ini kenapa yah setiap saya cek khs indeks prestasi semester saya turun terus yg awalnya sekian jadi sekian mohon kejelasannya,positive,negative
tolong pihak edlink plis buatkan apabila ada mahasiswa belum ngumpul tugas menit sbelum waktunya dikasih notifikasi untuk peringatannya karna hal itu sangat membantu tolong dibaca ulasan ini,positive,negative
mengapa ketika cek data akademik tulisan mohon tunggu nya sangat lama dan tidak muncul juga yg dicari tidak seperti biasanya mohon bantuannya,positive,negative
stuck di logo masuk padahal jarigan bgus aja,positive,negative
kenapa jam di edlink tidak sesuai dengan jam atau waktu yang sebenarnya saat mengerjakan kuis juga tidak bisa soal hanya mucul sebentar kemudian langsung keluar sendiri,positive,negative
tolong diperbaiki edlink nya baru baru ini tidak dapat diakses karena kesalah server mau app ataupun web saya hanya bisa akses yg web kalau aktifkan cloudflare warp kalau yg app android tidak bisa diakses,positive,negative
suka pembaruan mulu,positive,negative
kenapa tiba tiba apk nya berhenti rajin update tapi punya temen saya ga gitu kenapaya tolong dong aku absen ngampusnya disitu gimana ini developer,positive,negative
update terus,negative,positive
ini gimana ya saya tiap mau masuk ke aplikasi nya langsung kluar sndiri sudah reinstall ato coba hapus data juga tetep tlong bantuannya saya butuhh sekali,negative,positive
saya memang sangat beruntung menggunakan aplikasi ini karena memudahkan saya untuk masuk akun sebagai mahasiswa dengan tujuan mengikuti proses belajar yang secara online hanya saja mengapa akhir akhir ini aplikasi edlink sangat lola loding lama sampai sampai gak bisa masuk lagi sungguh menyebalkan padahal kulon sudah mulai,positive,negative
teruntuk developer edlink saya tidak bisa presensi barcode di karenakan kamera dari edlink buram dan tidak bisa nge scan barcode padahal saya coba di kamera hp bawaan jernih mungkin ada bug di aplikasi edlink hp saya oppo a mohon perbaiki secepatnya karena sangat mengganggu aktivitas perkuliahan saya mohon segera di perbaiki secepatnya terimakasih,positive,negative
,negative,positive
kak knapa gk bisa log in katanya username dan password salah pdahal udah benar yg dimasukin melalui link dan buka di crhome bisa tetapi di aplikasi ini gak bisa,negative,positive
kok makin lelet min setiap ngerjain quiz lelet trs,positive,negative
kak sya mau bertanya bagaimana si cara nya menghapus file yg sdah dikumpulkan krna penyimpanan edlink sya sudah full sehingga tidak bisa mengumpulkan tugas lagi kak mohon solusinya kak mohon responya kk,negative,positive
edlink nya sedang bermasalah sekarang mohon diatasi ya karna saat zoom di edlink gabisa masuk karena error layar nya putih semua mohon bertindak segera ya terima kasih atas perhatiannya,positive,negative
susah milih file disaat mau ngumpulin tugas harus satu satu sampe saya ga bisa ngumpulin dikarenakan repot sama file,positive,negative
kok akun saya tiba tiba keluar sendiri dari apk nya padahal ngga di apa apain pas masuk lagi malah semua data datanya pada ilang gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan sekarang sudah jadi,positive,negative
jelek banget aplikasinya makanya sayah kasih bintang,positive,negative
sistemnya suka keluar gajelas,positive,negative
tolong dong kenapa tidak bisa update,positive,negative
aku ganteng sangat,negative,positive
kok update terus ya klaw gini terus bisa eror,positive,negative
kalau mau update apk tuh harus nya tau waktu jangan pas lagi waktu perkuliahan,positive,negative
mau tanya admin knpa lama skli ini terupdate dari kemaring sampai sekarang blum bisa masuk padahal jaringan disini sudah sgt baik mohon penjelasan bantuan admin dari sy berhubung saya gunakan aplikasi ini dlm belajar online,negative,positive
tolong pihak edlink perbaiki aplikasinya saya kuliah telat mulu kenapa diedlink tidak ada fitur notifikasi yang berbunyi tolong tambahkan notifikasi yg berbunyi sprt aplikasi lain dan juga untuk postingan terbaru selalu ada dibawah postingan lama tolong saya kira tidak ada tugas dari dosen,positive,negative
tolong format nya di dukung kenapa zip rar dll gak bisa di kirim padahal dosennya nyuruh kirim itu,positive,negative
eror terusdd,positive,negative
server sering down sial,positive,negative
lumayan,negative,positive
edlink kenapa sih dari kemaren down mulu kalo di hp mau ngirim tugas gabisa gada kelas juga notif kosong padahal ada tugas yg mesti dikirim tp klo di laptop baik aja,positive,negative
dear admin ini kenapa ya saya buka edlink buffering terus mohon pencerahaan nya min,negative,positive
tolong ditingkatkan saya udah gabisa login seminggu lebih padahal data sudah benar,positive,negative
saya tidak bisa masuk ke edlink tolong di bantu,positive,negative
kenapa saya tidak mendapatkan notifikasi jika dosen membagi materi di edlink,positive,negative
ada bug kah kok ga bisa login google ataupun siakad cari baru nama universitas aja ga ada biasanya nulis universitas langsung muncul banyak pilihan,positive,negative
mohon dong untuk di perbaiki daily quest nya di bagian point quiz dan pengumpulan tugas nya gak di diklaim padahal udah ada minggu saya ngerjainnya tapi masih belum bisa di klaim tolong segera di perbaiki lagi dong,positive,negative
min tolong buat penyimpanan personalnya kan cuma mb tambahin kapasitasnya yaa soalnya kalau upload tugas kadang gk bisaa karena udah full penyimpanannya kalau yg udah ke upload di hapus nanti tugas yg dlunya dikirim malah hilang,positive,negative
terlalu sering eror gangguan sama terlalu sering harus di apdet,positive,negative
seringnya bug notif tugas muncul terus masalah jadwal kehadiran diweb siakad saya tertera hadir kali namun di apk jadwal kehadirannya masih tolong tanggapannya kalau sudah teratasi mungkin saya naikkan ke bintang,positive,negative
setelah diperbaharui menjadi tidak maksimal,positive,negative
kadang error tapi lumayan tingkatkan,positive,negative
saya tidak bisa melakukan verifikasi akun,positive,negative
aduh aduh eror ini eror gimana mau ngumpul tugas gimana eror ini gak bisa ikut zoom via edlink aduh gimana ini,positive,negative
ini kok susah di donwload yah kenapaa,positive,negative
pengen tau,negative,positive
sya masi berikan bintang karena blm juga bisa di buka aplikasinya mohon di jelaskan,negative,positive
kenapa di ed link tidak bisa melihat absensi perkuliahan,positive,negative
saya kasih bintang satu karna sering banget di minta update kalu satu bulan kali gak papa tapi ini satu bulan bisa kali,negative,positive
kadang loading nya lama,positive,negative
kenapa saya ga bisa masuk ke perguruan saya padahal username sama passowrd udh bener tp kok ga bisa login,positive,negative
knp gak bisa di isntal di hp ku,positive,negative
p za as langsung,negative,positive
akunnya sering keluar sendiri padahal nggak pernah di log out sama saya,positive,negative
tiap saya mau upload mengapa selalu mental tolong di perbaiki,positive,negative
lumayan mendukung,negative,positive
aplikasinya bagus cuman mengapa selalu error ketika saya buka padahal aplikasi ini sangat penting bagi saya sebagai pembelajar tolong diperbaiki lah,negative,positive
good,negative,positive
kameranya tidak bisa di zoom,positive,negative
gabisa ngirim file,positive,negative
masih suka eror pada bagan nilai setiap discrool kebawah keatas pasti nilainya jadi double bahkan bisa berulang ulang doublenya tolong diperbaiki lagi ini sangat mengganggu,positive,negative
kenapa tao bisa login walapun sudah terverfikasi,negative,positive
kenapa saya ga bisa masuk walaupun saya udh masukin kode verifikasi nya dan gagal terus plis tolong di bantu ya,positive,negative
aplikasi suka close sendiri,positive,negative
aplikasi ini kadang lemot disaat download file tugas yang mau dikirim kenapa bisa lemottt,positive,negative
tolong ditingkatkan lagi saya tidak bisa menghapus file buat mengurangi kapasitas memori di edlink karena setiap mau upload file walaupun sudah dikompres itu selalu gagal tolong diperbaiki,positive,negative
tolong periksa untuk device redmi note pada fitur camera scan qr codenya tadi saya coba tidak bisa zoom in out edit ternyata belum update punya saya,positive,negative
krs saya kok tdk keluar di edlink ya min,negative,positive
saya tidak bisa masuk padahal akun email saya aktif tolong di bantu cara daftarnya bagaimana,positive,negative
